fips,total_population
29161,45029
29163,18517
29165,93394
29167,31107
29169,53443
29171,4895
29173,10243
29175,25135
29177,23031
29179,6578
29181,13990
29183,374805
29185,9520
29186,17990
29187,66010
29189,1001327
29195,23334
29197,4395
29199,4873
29201,39061
29203,8317
29205,6179
29207,29837
29209,31375
29211,6512
29213,53555
29215,25735
29217,20878
29219,33043
29221,25048
29223,13397
29225,36690
29227,2082
29229,18449
29510,317850
29001,25560
29003,17328
29005,5440
29007,25783
29009,35726
29011,12166
29013,16643
29015,18854
29017,12356
29019,170770
29021,89561
29023,42951
29025,9083
29027,44566
29029,43927
29031,77606
29033,9096
29035,6284
29037,100781
29039,13892
29041,7650
29043,80904
29045,6919
29047,230361
29049,20498
29051,76533
29053,17593
29055,24660
29057,7618
29059,16564
29061,8277
29063,12782
29065,15612
29067,13516
29069,31562
29071,101828
29073,14948
29075,6785
29077,283206
29079,10256
29081,8722
29083,22034
29085,9335
29087,4615
29089,10182
29091,40326
29093,10322
29095,680905
29097,117184
29099,221577
29101,54155
29103,4035
29105,35514
29107,32916
29109,38244
29111,10172
29113,53850
29115,12401
29117,15042
29119,22763
29121,15460
29123,12401
29125,9057
29127,28840
29129,3718
29131,24956
29133,14208
29135,15801
29137,8680
29139,11939
29141,20225
29143,18411
29145,58777
29147,23186
29149,10979
30001,9291
30003,13141
30005,6598
30007,5692
30009,10268
30011,1227
30013,82090
30015,5855
30017,11945
30019,1758
30021,9365
30023,9211
30025,3057
30027,11468
30029,93333
30031,95323
30033,1047
30035,13672
30037,756
30039,3168
30041,16523
30043,11502
30045,1997
30047,29157
30049,65357
30051,2369
30053,19337
30055,1728
30057,7767
30059,1898
30061,4238
30063,111966
30065,4790
30067,15708
30069,443
30071,4167
30073,6206
30075,1703
30077,6975
30079,1372
30081,40823
30083,11132
30085,11072
30087,9352
30089,11346
30091,3630
30093,34549
30095,9288
30097,3633
30099,6074
30101,5150
30103,812
30105,7577
30107,2115
30109,986
30111,153692
31001,31442
31003,6486
31005,448
31007,820
31009,551
31011,5373
31013,11310
31015,2039
31017,3078
31019,47958
31021,6647
31023,8256
31025,25360
31027,8675
31029,3897
31031,5770
31033,10077
31035,6382
31037,10522
31039,9078
31041,10802
31043,20798
31045,9136
31047,24069
31049,1946
31051,5866
31053,36725
31055,537655
31057,2015
31059,5697
31061,3105
31063,2573
31065,4887
31067,21818
31069,1823
31071,1933
31073,1976
31075,769
31077,2476
31079,60792
31081,9100
31083,3458
31085,1084
31087,2879
31089,10398
31091,681
31093,6347
31095,7433
31097,5167
31099,6549
31101,8146
31103,711
31105,3720
31107,8556
31109,298080
31111,35896
31113,851
31115,548
31117,433
31119,35111
31121,7776
31123,4874
31125,3639
31127,7168
31129,4391
31131,15842
31133,2726
31135,2924
31137,9216
31139,7184
31141,32642
31143,5271
31145,10946
31147,8201
31149,1401
31151,14360
31153,169192
31155,20913
31157,36684
31159,16998
31161,5294
31163,3107
31165,1249
31167,6081
31169,5182
31171,675
31173,6946
31175,4254
31177,20257
31179,9425
31181,3697
31183,847
31185,13825
32001,24252
32003,2035572
32005,47259
32007,51562
32009,1141
32011,1669
32013,17067
32015,5946
32017,5194
32019,51657
32021,4566
32023,42625
32027,6722
32029,3929
32031,435019
32033,9974
32510,54482
33001,60399
33003,47513
33005,76430
33007,31870
33009,89341
33011,403972
33013,147262
33015,299006
33017,125273
33019,43135
34001,275376
34003,926330
34005,450556
34007,511998
34009,95805
34011,157035
34013,791609
34015,290298
34017,662619
34019,126250
34021,370212
34023,830300
34025,629185
34027,498192
34029,583450
34031,507574
34033,65120
34035,330604
34037,145930
34039,548744
34041,107226
35001,673943
35003,3583
35005,65811
35006,27382
35007,12997
35009,50497
35011,2020
35013,213963
35015,55641
35017,29119
35019,4526
35021,565
35023,4643
35025,68149
35027,19931
35028,17939
35029,24789
35031,73998
35033,4660
35035,65318
35037,8698
35039,39949
35041,19908
35043,136638
35045,125133
35047,28668
35049,147108
35051,11615
35053,17494
35055,32943
35057,15853
35059,4339
35061,76297
36081,2301139
36083,159900
36085,472481
36087,320688
36089,112011
36091,223774
36093,154796
36095,31913
36097,18410
36099,35144
36101,98665
36103,1501373
36105,76330
36107,50199
36109,103855
36111,181300
36113,65180
36115,62700
36117,92416
36119,967315
36121,41446
36123,25187
36001,307463
36003,48070
36005,1428357
36007,198093
36009,78962
36011,79173
36013,132646
36015,88267
36017,49549
36019,81685
36021,62195
36023,49043
36025,46901
36027,296928
36029,921584
36031,38912
36033,51280
36035,54606
36037,59458
36039,48312
36041,4760
36043,64034
36045,118947
36047,2595259
36049,27124
36051,64801
36053,72427
36055,749356
36057,49779
36059,1354612
36061,1629507
36063,214150
36065,233558
36067,468304
36069,109192
36071,375384
36073,42204
36075,121183
36077,61399
36079,99488
37001,155258
37003,37158
37005,10911
37007,26135
37009,27114
37011,17695
37013,47561
37015,20518
37017,34720
37019,115926
37021,247336
37023,89548
37025,188375
37027,81758
37029,10161
37031,68228
37033,23174
37035,154610
37037,67431
37039,27092
37041,14656
37043,10656
37045,97178
37047,57230
37049,104450
37051,324603
37053,24492
37055,34863
37057,163867
37059,41447
37061,59453
37063,288817
37065,55280
37067,361684
37069,62296
37071,209807
37073,11724
37075,8700
37077,58109
37079,21328
37081,506763
37083,53407
37085,124320
37087,59170
37089,109719
37091,24368
37093,51075
37095,5693
37097,165066
37099,40812
37101,178396
37103,10166
37105,59418
37107,58782
37109,79578
37111,44961
37113,33919
37115,21027
37117,23729
37119,990288
37121,15330
37123,27601
37125,91743
37127,94722
37129,213091
37131,21011
37133,183753
37135,138644
37137,12982
37139,40018
37141,55166
37143,13498
37145,39262
37147,173798
37149,20327
37151,142370
37153,46046
37155,134871
37157,92300
37159,138361
37161,66865
37163,63873
37165,35932
37167,60586
37169,46661
37171,73170
37173,14163
37175,32928
37177,4152
37179,213422
37181,44829
37183,976019
37185,20468
37187,12668
37189,52240
37191,124355
37193,68946
37195,81581
37197,37971
37199,17604
38001,2341
38003,11097
38005,6794
38007,969
38009,6634
38011,3221
38013,2208
38015,88223
38017,162500
38019,3890
38021,5195
38023,2314
38025,4195
38027,2370
38029,3463
38031,3366
38033,1822
38035,68979
38037,2362
38039,2329
38041,2621
38043,2430
38045,4113
38047,1945
38049,5817
38051,2759
38053,9615
38055,9451
38057,8633
38059,28985
38061,9253
38063,3048
38065,1819
38067,7206
38069,4395
38071,11566
38073,5453
38075,2562
38077,16317
38079,14498
38081,3874
38083,1337
38085,4380
38087,673
38089,28628
38091,1979
38093,21076
38095,2294
38097,8077
38099,11005
38101,67736
38103,4204
38105,29619
40001,22236
40003,5755
40005,13906
40007,5530
40009,23300
40011,9810
40013,44003
40015,29495
40017,126193
40019,48442
40021,48097
40023,15120
40025,2341
40027,268614
40029,5812
40031,125531
40033,6112
40035,14744
40037,70761
40039,28978
40041,41409
40043,4863
40045,4121
40047,62192
40049,27455
40051,53612
40053,4517
40055,6117
40057,2866
40059,3766
40061,12850
40063,13785
40065,26056
40067,6333
40069,11022
40071,45587
40073,15302
40075,9302
40077,10774
40079,49899
40081,34504
40083,44493
40085,9663
40087,36512
40089,33143
40091,20280
40093,7700
40095,16014
40097,41007
40099,13733
40101,70224
40103,11506
40105,10555
40107,12248
40109,754480
40111,39446
40113,48054
40115,32085
40117,16499
40119,79423
40121,44961
40123,38055
40125,71136
40127,11226
40129,3780
40131,89190
40133,25481
40135,41464
40137,44806
40139,21588
40141,7715
40143,623335
40145,75391
40147,51760
40149,11649
40151,9033
40153,20986
41001,16052
41003,86495
41005,389438
41007,37382
41009,49389
41011,62775
41013,20956
41015,22338
41017,166622
41019,107194
41021,1883
41023,7276
41025,7229
41027,22749
41029,208363
41031,22061
41033,83409
41035,65972
41037,7842
41039,357060
41041,46347
41043,118971
41045,30551
41047,323259
41049,11204
41051,768418
41053,77264
41055,1795
41057,25430
41059,76738
41061,25745
41063,6857
41065,25492
41067,556210
41069,1348
41071,101119
42001,101767
42003,1231145
42005,67979
42007,169785
42009,49086
42011,413965
42013,126448
42015,62228
42017,626583
42019,185689
42021,139381
42023,4869
42025,64634
42027,157823
42029,509797
42031,39454
42033,81343
42035,39614
42037,66912
42039,87343
42041,241427
42043,271094
42045,561683
42047,31370
42049,279858
42051,134851
42053,7581
42055,152285
42057,14694
42059,37938
42061,45906
42063,87895
42065,44756
42067,24829
42069,213459
42071,530216
42073,89162
42075,135776
42077,356756
42079,320095
42081,116656
42083,42884
42085,115320
42087,46675
42089,167881
42091,812970
42093,18508
42095,299616
42097,94006
42099,45677
42101,1555072
42103,56632
42105,17377
42107,146360
42109,40046
42111,76617
42113,6381
42115,42369
42117,42284
42119,44958
42121,53906
42123,40962
42125,208226
42127,51642
42129,361251
42131,28147
42133,439660
44001,49176
44003,164958
44005,82663
44007,630459
44009,126405
45001,24997
45003,163908
45005,9838
45007,191215
45009,15432
45011,22098
45013,171420
45015,193613
45017,14958
45019,372904
45021,55863
45023,32556
45025,46192
45027,34178
45029,38004
45031,67922
45033,31435
45035,145715
45037,26466
45039,23108
45041,138330
45043,60572
45045,474903
45047,69771
45049,20473
45051,290730
45053,26549
45055,62722
45057,81263
45059,66389
45061,18461
45063,273843
45065,9895
45067,32167
45069,27993
45071,37690
45073,74949
45075,90575
45077,120124
45079,397899
45081,20000
45083,291240
45085,107777
45087,28125
45089,33238
45091,240076
46003,2729
46005,18168
46007,3438
46009,7013
46011,33046
46013,38060
46015,5330
46017,2038
46019,10292
46021,1548
46023,9239
46025,3625
46027,14011
46029,27750
46031,4149
46033,8394
46035,19787
46037,5618
46039,4341
46041,5579
46043,2973
46045,4018
46047,6906
46049,2359
46051,7227
46053,4226
46055,2083
46057,5982
46059,3375
46061,3386
46063,1328
46065,17466
46067,7226
46069,1413
46071,3237
46073,2031
46075,781
46077,5107
46079,12086
46081,24645
46083,49874
46085,3837
46087,5613
46089,2263
46091,4701
46093,26381
46095,2086
46097,2306
46099,178942
46101,6439
46102,14153
46103,106085
46105,2981
46107,2307
46109,10318
46111,2339
46115,6570
46117,2962
46119,1469
46121,9942
46123,5504
46125,8302
46127,14842
46129,5495
46135,22636
46137,2833
47105,50229
47107,52506
47109,26103
47111,22761
47113,98184
47115,28306
47117,31159
47119,84089
47121,11716
47123,45293
47125,185980
47127,6351
47129,21794
47131,31129
47133,22100
47135,7864
47137,5097
47139,16687
47141,73810
47143,32394
47145,53162
47147,67426
47149,282558
47151,22043
47153,14592
47155,93617
47157,937750
47159,19136
47161,13286
47163,156752
47165,169623
47167,61674
47169,7884
47171,18069
47173,19096
47175,5596
47177,40015
47179,125317
47181,16897
47183,34415
47185,26252
47187,199456
47189,122445
47001,75430
47003,45986
47005,16261
47007,13686
47009,125188
47011,102062
47013,40176
47015,13787
47017,28353
47019,56941
47021,39422
47023,17324
47025,31748
47027,7780
47029,35321
47031,53448
47033,14600
47035,57455
47037,658506
47039,11686
47041,19038
47043,50472
47045,38054
47047,38814
47049,17931
47051,41138
47053,49572
47055,28949
47057,22736
47059,68576
47061,13524
47063,62999
47065,348121
47067,6642
47069,26253
47071,25900
47073,56595
47075,18248
47077,28013
47079,32269
47081,24283
47083,8290
47085,18240
47087,11496
47089,52490
47091,18017
47093,444348
47095,7687
47097,27427
47099,42226
47101,11944
47103,33550
48001,57915
48003,16775
48005,87748
48007,24292
48009,8779
48011,1943
48013,47050
48015,28886
48017,7126
48019,20796
48021,76948
48023,3628
48025,32659
48027,326041
48029,1825502
48031,10723
48033,705
48035,17971
48037,93155
48039,331741
48041,205271
48043,9235
48045,1670
48047,7221
48049,37833
48051,17293
48053,44144
48055,39347
48057,21666
48059,13532
48061,417947
48063,12516
48065,6068
48067,30328
48069,7948
48071,37251
48073,51167
48075,7059
48077,10479
48079,2993
48081,3238
48083,8536
48085,862215
48087,3058
48089,20757
48091,119632
48093,13623
48095,4086
48097,38761
48099,76128
48101,1510
48103,4730
48105,3699
48107,6007
48109,2296
48111,7014
48113,2485003
48115,13542
48117,19245
48119,5223
48121,731851
48123,20540
48125,2281
48127,10682
48129,3588
48131,11577
48133,18328
48135,149557
48137,1906
48139,157058
48141,831095
48143,40039
48145,17410
48147,33748
48149,24849
48151,3858
48153,6178
48155,1197
48157,658331
48159,10599
48161,19586
48163,18168
48165,18916
48167,308163
48169,6410
48171,25398
48173,1180
48175,7410
48177,20172
48179,22983
48181,122780
48183,123178
48185,26961
48187,143460
48189,35504
48191,3203
48193,8266
48195,5559
48197,3992
48199,55375
48201,4356362
48203,66417
48205,6121
48207,5853
48209,177562
48211,4115
48213,79016
48215,819217
48217,34923
48219,23322
48221,53171
48223,35645
48225,22949
48227,36105
48229,3330
48231,88052
48233,21858
48235,1644
48237,8946
48239,14486
48241,35768
48243,2232
48245,252872
48247,5239
48249,41461
48251,155450
48253,19978
48255,14879
48257,109289
48259,37361
48261,565
48263,821
48265,50149
48267,4486
48269,267
48271,3577
48273,32029
48275,3796
48277,49566
48279,13742
48281,20219
48283,7191
48285,19549
48287,16664
48289,16819
48291,77486
48293,23454
48295,3483
48297,11873
48299,19323
48301,117
48303,290782
48305,5764
48307,8273
48309,241505
48311,778
48313,13838
48315,10248
48317,5252
48319,4066
48321,36598
48323,56548
48325,47392
48327,2182
48329,151290
48331,24344
48333,4875
48335,9169
48337,19478
48339,502586
48341,22281
48343,12700
48345,1071
48347,65531
48349,48118
48351,14231
48353,15061
48355,352060
48357,10642
48359,2071
48361,83217
48363,27921
48365,23900
48367,121418
48369,10004
48371,15807
48373,46113
48375,122352
48377,7304
48379,11037
48381,126782
48383,3598
48385,3356
48387,12567
48389,14179
48391,7277
48393,931
48395,16532
48397,85536
48399,10445
48401,53457
48403,10440
48405,8695
48407,27023
48409,66070
48411,5893
48413,3224
48415,17238
48417,3352
48419,25725
48421,3066
48423,217552
48425,8608
48427,62648
48429,9452
48431,1346
48433,1414
48435,3966
48437,7713
48439,1914526
48441,134435
48443,921
48445,12687
48447,1545
48449,32553
48451,115056
48453,1121645
48455,14405
48457,21462
48459,40096
48461,3405
48463,26952
48465,48980
48467,52736
48469,90099
48471,69330
48473,45847
48475,11225
48477,34236
48479,263251
48481,41264
48483,5618
48485,131957
48487,13158
48489,22002
48491,473592
48493,45509
48495,7576
48497,61243
48499,42712
48501,8213
48503,18329
48505,14308
48507,12060
49047,35721
49049,551957
49051,26661
49053,148244
49055,2722
49057,238682
49001,6461
49003,50991
49005,117449
49007,20927
49009,776
49011,323374
49013,19817
49015,10728
49017,5069
49019,9388
49021,47139
49023,10400
49025,7202
49027,12582
49029,10276
49031,1865
49033,2292
49035,1078958
49037,15152
49039,28261
49041,20871
49043,38521
49045,60893
50001,36943
50003,36589
50005,31012
50007,159711
50009,6207
50011,48418
50013,6952
50015,25027
50017,28929
50019,27146
50021,60530
50023,59132
50025,43858
50027,56150
51001,33115
51003,103108
51005,16066
51007,12777
51009,32148
51011,15208
51013,223945
51015,74053
51017,4583
51019,76463
51021,6662
51023,33155
51025,16930
51027,23486
51029,17068
51031,55012
51033,29349
51035,29856
51036,7118
51037,12313
51041,328176
51043,14299
51045,5212
51047,48424
51049,9859
51051,15463
51053,28110
51057,11151
51059,1128722
51061,67463
51063,15523
51065,26014
51067,56315
51069,81340
51071,16907
51073,37001
51075,21721
51077,15573
51079,18938
51081,11760
51083,35506
51085,101340
51087,318864
51089,52580
51091,2244
51093,35740
51095,70673
51097,7106
51099,24933
51101,16097
51103,11129
51105,25206
51107,351129
51109,33986
51111,12558
51113,13147
51115,8880
51117,31555
51119,10717
51121,96467
51125,14858
51127,19560
51131,12184
51133,12304
51135,15711
51137,34596
51139,23843
51141,18264
51143,62794
51145,28207
51147,23022
51149,37380
51153,437271
51155,34528
51157,7431
51159,8989
51161,93633
51163,22444
51165,77785
51167,28245
51169,22570
51171,42724
51173,31734
51175,18410
51177,127691
51179,137145
51181,6823
51183,11864
51185,43870
51187,38481
51191,54759
51193,17557
51195,40530
51197,29190
51199,66471
51510,149315
51520,17524
51530,6666
51540,45084
51550,230601
51570,17515
51580,5736
51590,42450
51595,5672
51600,23402
51610,13308
51620,8457
51630,27395
51640,6876
51650,137081
51660,51388
51670,22279
51678,7071
51680,78158
51683,40743
51685,15625
51690,13624
51700,181323
51710,245452
51720,4007
51730,32123
51735,12077
51740,96135
51750,17057
51760,213735
51770,98736
51775,25165
51790,24193
51800,86184
51810,448290
51820,21150
51830,14754
51840,27168
53001,19081
53003,22040
53005,184930
53007,74267
53009,72397
53011,444506
53013,3989
53015,102338
53017,39599
53019,7652
53021,86443
53023,2230
53025,92070
53027,71419
53029,79329
53031,30083
53033,2045756
53035,255441
53037,42204
53039,20820
53041,75515
53043,10363
53045,60791
53047,41332
53049,20645
53051,12968
53053,821952
53055,15956
53057,119343
53059,11243
53061,746653
53063,480832
53065,43548
53067,262723
53069,4035
53071,59726
53073,207100
53075,46737
53077,247408
54001,16731
54003,108724
54005,24000
54007,14466
54009,23665
54011,96824
54013,7557
54015,9141
54017,8201
54019,45534
54021,8644
54023,11815
54025,35666
54027,23542
54029,30201
54031,13936
54033,68998
54035,29256
54037,55214
54039,190781
54041,16434
54043,21560
54045,35760
54047,20802
54049,56790
54051,32480
54053,27177
54055,61891
54057,27755
54059,25931
54061,101668
54063,13525
54065,17475
54067,25930
54069,43637
54071,7402
54073,7636
54075,8697
54077,33809
54079,56596
54081,78493
54083,29365
54085,10140
54087,14636
54089,13544
54091,16977
54093,6972
54095,9033
54097,24560
54099,41499
54101,8927
54103,16157
54105,5841
54107,86559
54109,22866
55001,20451
55003,15993
55005,45686
55007,15050
55009,254717
55011,13319
55013,15334
55015,49678
55017,63209
55019,34518
55021,56607
55023,16483
55025,510198
55027,88547
55029,27731
55031,43799
55033,44159
55035,101281
55037,4476
55039,101920
55041,9150
55043,51489
55045,37044
55047,18966
55049,23769
55051,5907
55053,20543
55055,84345
55057,26494
55059,167738
55061,20483
55063,117048
55065,16835
55067,19551
55069,28286
55071,80521
55073,135177
55075,41287
55077,15140
55078,4451
55079,955939
55081,45274
55083,37476
55085,35653
55087,180430
55089,87273
55091,7372
55093,40799
55095,43572
55097,70432
55099,13800
55101,194895
55103,17746
55105,160727
55107,14357
55109,86118
55111,62992
55113,16483
55115,41563
55117,115226
55119,20569
55121,29412
55123,30279
55125,21355
55127,103039
55129,15700
55131,132921
55133,393873
55135,52125
55137,24321
55139,169004
55141,74012
56001,37565
56003,11895
56005,48013
56007,15739
56009,14101
56011,7229
56013,40755
56015,13544
56017,4809
56019,8600
56021,95431
56023,18316
56025,80011
56027,2516
56029,28985
56031,8750
56033,29738
56035,10117
56037,44772
56039,22311
56041,20930
56043,8400
56045,7152
11001,647484
