fips,opioid_presc_rate,total_population,average_household_size,percent_with_healthcare,median_household_income,median_age,perc_foreign_born,percent_grad_high_school,perc_male,poverty_population,opioid_death_rate
51001,60.7,33115,2.29,0.9978110178766874,39412,45.3,0.06688811716744678,0.8033826638477801,0.48669787105541296,6384,261.025
51003,59.1,103108,2.45,0.9932587492828456,68449,38.6,0.10136943787097025,0.9131938915828327,0.4787698335725647,9714,105.728
51009,75,32148,2.48,1,47558,43.6,0.020032350379494836,0.82799197682193,0.48136742565633944,4086,151.74
51011,125,15208,2.55,1,48823,42.3,0.007298790110468175,0.8399591305963218,0.4850736454497633,2668,277.868
51013,24.4,223945,2.24,0.999616515403298,105763,33.9,0.2302574292795106,0.9347793825203758,0.50014959030119,19996,29.124
51015,19.7,74053,2.5,0.9973856209150327,54558,44.2,0.015907525691059108,0.8598113313703794,0.5055838386020823,6694,190.674
51019,44.9,76463,2.48,0.9960681520314548,56316,45.3,0.01879340334540889,0.8808372706296012,0.4913095222525928,7372,115.444
51023,39.6,33155,2.55,0.9987859166329421,60454,46.4,0.023948122455134974,0.910649895178197,0.4952194239179611,2701,81.249
51025,23.9,16930,2.51,1,36919,41.7,0.015652687536916714,0.759271523178808,0.5246308328411105,3298,160.069
51027,131,23486,2.37,1,29679,45.5,0.010772375031933918,0.6983520556537606,0.5062164693860172,5841,270.538
51029,2.1,17068,2.68,1,40331,42.2,0.014823060698382939,0.7719925270083665,0.55519100070307,2867,181.84
51031,43,55012,2.5,1,47699,42.4,0.02326765069439395,0.8479155345081903,0.484530647858649,7309,131.023
51033,35.3,29349,2.48,1,59227,39.1,0.029200313468942724,0.8220045214770159,0.4944972571467512,3601,122.606
51035,44.9,29856,2.37,1,35000,46.1,0.018756698821007504,0.7982032105071142,0.5009043408360129,5017,155.769
51037,38.9,12313,2.57,1,35079,44.6,0.008202712580199788,0.7800912387413732,0.4977665881588565,2589,173.139
51041,67.8,328176,2.78,0.9928995698777907,72609,38.2,0.08092913558578324,0.9096290486296945,0.48132709277948416,24002,68.73
51043,28.5,14299,2.55,1,71295,45.7,0.04133156164766767,0.8769260967710276,0.49171270718232046,1556,194.796
51047,65.5,48424,2.83,1,66697,38.9,0.06806542210474145,0.8378076756153512,0.5038410705435321,4320,155.741
51051,185.1,15463,2.43,1,33624,43.4,0.009635905063700446,0.7512594458438288,0.5075341136907456,3225,193.747
51053,5.1,28110,2.74,1,51397,42.4,0.021771611526147278,0.818232948154208,0.4961579509071505,4061,74.616
51059,29.7,1128722,2.85,0.9743840271877655,112552,37.4,0.29962648021390564,0.9195631583479235,0.4949013131665725,66762,27.05
51061,72.2,67463,2.84,0.9989001924663184,91609,41.5,0.059988438106814104,0.9121303323737242,0.4942116419370618,3762,137.544
51065,31.4,26014,2.5,1,63938,41.6,0.0342123471976628,0.8866717275783538,0.4583685707695856,1618,140.84
51067,80.1,56315,2.36,1,46870,45,0.023705939802894434,0.8403610733275627,0.4902956583503507,8123,189.053
51069,58.2,81340,2.72,0.9951589139128605,69098,40.1,0.054733218588640276,0.873860592222362,0.49672977624784853,5247,120.823
51071,119.8,16907,2.32,1,46390,43.9,0.01703436446442302,0.8398874078980048,0.49015200804400544,1891,195.764
51073,107.5,37001,2.57,0.9982494529540481,61121,43.6,0.02151293208291668,0.9022947088943676,0.4941217804924191,2735,198.85
51077,25,15573,2.24,1,29942,47.6,0.01509022025300199,0.7857999314833847,0.49284017209272457,3244,191.964
51079,77.8,18938,2.64,0.9865841073271414,61550,40.1,0.04308797127468582,0.8476022133415309,0.4877494983630795,1853,123.897
51083,81.3,35506,2.43,1,35240,45.3,0.014335605249816932,0.7977173097429011,0.4760885484143525,6675,105.738
51085,90.2,101340,2.65,0.9966442953020134,78645,41.9,0.036007499506611404,0.9216034467701086,0.49029998026445626,5976,59.392
51087,68.2,318864,2.54,0.9977341389728097,61934,37.9,0.1193424155752923,0.9065830201956555,0.4718814290732099,33914,69.525
51089,73.4,52580,2.32,1,35293,46,0.031723088626854315,0.7838786576899903,0.48075313807531384,9520,225.484
51093,74.1,35740,2.57,1,65741,44.5,0.026860660324566313,0.863021243115657,0.4897313933967543,4137,101.104
51095,96.2,70673,2.49,1,75710,45.4,0.06455081855871407,0.9379244024021667,0.4844990307472444,5648,92.737
51103,156.9,11129,2.13,1,50374,55.6,0.019318896576511816,0.8999659361871238,0.47084194446940425,1246,264.309
51105,149.5,25206,2.52,1,31086,42.8,0.011108466238197254,0.745229471863344,0.5245973180988653,6027,194.384
51107,36.8,351129,3.08,0.9653769841269841,123453,35.3,0.23286598372677847,0.9356969376506753,0.4955045011947176,14047,24.615
51109,49.8,33986,2.64,1,57829,43.7,0.03221914906137822,0.8281121526064792,0.49290884481845465,3385,153.252
51117,105.7,31555,2.41,1,37356,47.2,0.022373633338615116,0.7884673616818791,0.48271272381556013,5975,168.328
51119,3.1,10717,2.38,1,54654,52.7,0.015582719044508725,0.8773562107298212,0.4947280022394327,982,194.841
51121,61.6,96467,2.48,1,46663,27.5,0.08821669586490717,0.9129125717207294,0.5181150030580406,21707,57.808
51125,21.9,14858,2.33,1,47118,48.4,0.0382285637367075,0.8392430644864964,0.48526046574236104,2159,228.664
51131,113.8,12184,2.26,1,35055,48.3,0.05638542350623769,0.7973804992723609,0.48563690085357847,2730,288.327
51133,30.7,12304,2.1,0.9899117276166457,51885,55.1,0.02543888166449935,0.8809843863095853,0.48252600780234073,1352,204.549
51137,91,34596,2.66,1,65166,42.6,0.05457278298069141,0.8785031389766526,0.4891316915250318,4105,222.329
51139,86,23843,2.52,1,43895,44.1,0.016273119993289436,0.7708017271560276,0.4910036488696892,3880,173.332
51141,69.2,18264,2.31,1,33982,48,0.018999123959702147,0.7871597030135391,0.4928274200613228,3818,234.336
51143,22.3,62794,2.36,0.9985197716219074,41824,45.5,0.02208809758894162,0.8067123528378141,0.49058827276491385,9944,165.351
51147,99.5,23022,2.49,1,41697,32.1,0.031144123012770395,0.8202665013944841,0.4963078794196855,3883,120.992
51153,38.5,437271,3.17,0.96,98657,34,0.21858984474159046,0.8966992221512742,0.49832026363513704,28739,32.512
51155,134.1,34528,2.3,1,47495,45.2,0.014191380908248378,0.840031274433151,0.4990732159406858,4506,169.576
51159,44,8989,2.47,1,47288,43.7,0.06596951830014462,0.7905660377358491,0.5747024140616309,748,273.535
51161,84.4,93633,2.4,1,60519,43.5,0.0500891779607617,0.9194341851458648,0.47800454967799816,7607,93.586
51165,30.3,77785,2.57,0.9847277556440903,53744,41.5,0.051153821430867136,0.813343683144323,0.4903387542585331,8471,141.703
51167,111.7,28245,2.51,1,35045,43.8,0.010727562400424854,0.7658419714453354,0.488688263409453,5777,164.414
51169,153.7,22570,2.34,0.9959534648457259,37240,45.4,0.010500664599025255,0.7649036441135859,0.5037217545414266,4406,205.198
51171,69,42724,2.47,0.9897289586305278,49406,43.8,0.05453609212620541,0.8449900551045029,0.4850903473457541,5138,192.241
51173,131.3,31734,2.43,1,37983,44.3,0.01115522783134808,0.8175246440306682,0.4888132602256255,5815,157.749
51175,0,18410,2.53,1,48962,45.4,0.010429114611624117,0.80435918489214,0.5247691472026073,2649,110.76
51177,66.4,127691,2.97,0.9926470588235294,78125,36.7,0.06991878832494068,0.8953441004504936,0.49135804402816174,10396,68.177
51179,49.1,137145,3.08,0.9883381924198251,97144,34.7,0.08781216960151664,0.932676729413136,0.5035181741951948,6948,49.182
51185,179.3,43870,2.38,1,37664,43.1,0.008616366537497151,0.7920237831683481,0.4961477091406428,7518,218.268
51187,87.6,38481,2.62,1,61454,40.4,0.03419869546009719,0.8545585558252428,0.5009745068995088,3696,155.791
51191,105,54759,2.35,1,43310,44.7,0.015394729633484906,0.8407157598026879,0.4947497215069669,6845,99.605
51195,194.5,40530,2.46,0.9975165562913907,37407,39.8,0.012533925487293363,0.7397167662966125,0.5177892918825562,8414,206.485
51197,109.5,29190,2.44,1,41360,43.6,0.010243233984241179,0.8118536009445101,0.4916752312435766,4356,186.104
51199,47,66471,2.73,0.991953385127636,81749,39.5,0.07756766108528532,0.940061871616396,0.49141730980427556,4198,57.373
51510,33,149315,2.21,0.9700846660395108,89134,36,0.27450691491142887,0.9152491741055739,0.48258379935036666,12359,24.389
51520,174.2,17524,2.22,1,35368,41.8,0.019116640036521342,0.8244848484848485,0.46553298333713766,3496,324.292
51540,52.8,45084,2.39,0.9994075829383886,49775,29.8,0.11911099281341496,0.9019889939934539,0.48289858929997337,10995,108.714
51550,65.5,230601,2.75,0.9924947463224257,68620,36.5,0.04977428545409603,0.910926756156243,0.4884670925104401,21734,76.49
51570,222.2,17515,2.44,0.9873925501432664,50304,40,0.06480159862974594,0.8791773778920309,0.4648586925492435,1974,112.537
51590,179.2,42450,2.2,1,32315,41.8,0.03109540636042403,0.7868122838851039,0.4572673733804476,9629,190.94
51640,394.4,6876,2.19,1,30604,45.6,0.10325770796974985,0.7234977041325614,0.4829842931937173,1766,295.203
51650,76.8,137081,2.51,0.9977581432150864,49190,35.4,0.04689927852875307,0.8986801285401355,0.4822769019776628,20187,125.545
51660,124.7,51388,2.69,1,38750,23.5,0.16651747489686308,0.8406681131534777,0.47602553125243247,14326,99.853
51670,151.7,22279,2.53,0.9949964260185847,39064,36.9,0.04703981327707707,0.8093663540049936,0.47336056375959423,4165,140.752
51680,116.7,78158,2.37,0.9971381847914963,39589,28.7,0.05607871235190256,0.8826629998854131,0.4697791652805855,16775,120.93
51690,399.9,13624,2.26,0.987220447284345,29587,42.4,0.03163534938344099,0.7806159991590456,0.45177627715795654,3105,312.384
51700,62.8,181323,2.5,0.999083409715857,50077,32.8,0.07436453180236374,0.8900958410881703,0.48416361961802973,26984,144.095
51710,64.8,245452,2.53,0.9940902925789575,44480,30,0.06899923406613105,0.8697743372330149,0.5218087446832782,46288,94.241
51730,152.2,32123,2.44,1,31798,39.5,0.033309466737228774,0.7790190735694823,0.45988855337297263,8795,150.555
51735,80.6,12077,2.59,1,83735,43.8,0.0388341475532003,0.936081739337056,0.48952554442328394,502,183.074
51740,102.4,96135,2.54,1,45676,34.9,0.025932282727414574,0.8359360212000757,0.4807926353565299,17000,148.028
51760,53.2,213735,2.33,0.9970394422691242,40758,32.9,0.0680468804828409,0.83184166433957,0.47583222214424403,51828,74.383
51770,102.1,98736,2.29,0.9953443570396532,39930,38,0.07156457624372063,0.8439858937367025,0.4811922702965484,20514,178.607
51775,206,25165,2.29,0.9907154560349536,50068,40.5,0.04081064971190145,0.9004618664140218,0.47363401549771506,2578,160.476
51790,175,24193,2.21,1,40842,42.3,0.027445955441656678,0.8721397379912664,0.4489315091142066,4052,283.216
51800,85.4,86184,2.75,0.9953545232273838,65499,38.3,0.03682818156502367,0.8751730300853323,0.4816555277081593,9835,76.171
51810,61,448290,2.63,0.9955146474793253,66634,35,0.08718017354837271,0.9333161179544105,0.4913671953423007,36267,64.295
51820,202.9,21150,2.32,1,45643,38.5,0.05087470449172577,0.8491240123668843,0.4767375886524823,3796,233.015
51840,175,27168,2.47,0.9936854190585533,45363,37,0.11016637220259129,0.841937824412569,0.4944419905771496,4200,159.907
